ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at
150065,SCHNECK MEDICAL CENTER,IN,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.schneckmed.org/cms-hpt.txt,https://d188lfxfyq6i9j.cloudfront.net/general-uploads/PDF-Assets/35-1163135_Jackson-County-Schneck-Memorial-Hospital_standardcharges.csv,2024-01-24,2.0.0,https://www.schneckmed.org/patients-visitors/patient-information/billing-insurance#price-transparency---chargemaster,2026-09-09T01:48:19.133Z
170183,KANSAS SURGERY & RECOVERY CENTER,KS,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://irp.cdn-website.com/fa377abf/files/uploaded/cms-hpt202504.txt,https://irp.cdn-website.com/fa377abf/files/uploaded/481148580_kansas-surgery---recovery-center-llc_standardcharges.csv,2025-03-25,2.0.0,https://www.kansas.surgery/price-transparency,2026-09-09T01:48:19.708Z
171321,MEADE DISTRICT HOSPITAL,KS,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://3293c1a2-894d-4ca5-9b72-fc018865f82e.usrfiles.com/ugd/3293c1_0c176796799b488382354a99e253f472.txt,https://a9a4b96f-06fd-48d5-afab-60ad79a55e97.filesusr.com/ugd/3293c1_b634e2c6081e4736bc6956dddef01d94.json?dn=480966086_Meade%20District%20Hospital_standardcharges%20(3).json,2024-12-31,2.2.0,https://www.avhealthsystem.com/pricing-information,2026-09-09T01:48:19.835Z
181325,JANE TODD CRAWFORD HOSPITAL,KY,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://janetoddhospital.com/cms-hpt.txt,https://www.janetoddhospital.com/Content/Uploads/janetoddhospital.com/files/204474637_Jane-Todd-Crawford-Hospital_standardcharges.csv,2026-03-31,2.0.0,https://www.janetoddhospital.com/Content/Uploads/janetoddhospital.com/files/204474637_Jane-Todd-Crawford-Hospital_standardcharges.csv,2026-09-09T01:48:29.763Z
194112,BEACON BEHAVIORAL HOSPITAL - CENTRAL,LA,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://beaconbh.com/cms-hpt.txt,https://beaconbh.com/wp-content/uploads/2026/04/853294005-320433074-1184044430_bunkie-hospital_standardcharges_2026.csv,2025-10-01,2.0.0,https://www.beaconbh.com/price-transparency/,2026-09-09T01:48:31.510Z
194102,"BEACON BEHAVIORAL HOSPITAL, LLC",LA,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://beaconbh.com/cms-hpt.txt,https://beaconbh.com/wp-content/uploads/2026/04/853294019-273463367-1881996940_lutcher-hospital_standardcharges_2026.csv,2025-10-01,2.0.0,https://www.beaconbh.com/price-transparency/,2026-09-09T01:48:31.624Z
190190,"CALDWELL MEMORIAL HOSPITAL, INC",LA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://mycaldwellmemorial.com/cms-hpt.txt,https://www.mycaldwellmemorial.com/wp-content/uploads/2020/12/720878037_caldwell-memorial-hospital_standardcharges.csv,2024-06-27,2.0.0,https://mycaldwellmemorial.com/faqs,2026-09-09T01:48:31.748Z
190160,GLENWOOD REGIONAL MEDICAL CENTER,LA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://glenwoodregional.org/cms-hpt.txt,https://glenwoodregional.org/pricetransparency/994786140_GlenwoodRegionalMedicalCenter_standardcharges.csv,2025-03-19,2.0.0,https://glenwoodregional.org/price-transparency,2026-09-09T01:48:32.008Z
190167,MERCY REGIONAL MEDICAL CENTER,LA,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://mercyregionalmedical.com/cms-hpt.txt,https://mercyregionalmedical.com/824681222_MERCY-REGIONAL-MEDICAL-CENTER_standardcharges.csv,2026-02-02,2.0.0,https://mercyregionalmedical.com/,2026-09-09T01:48:32.119Z
220095,HEYWOOD HOSPITAL -,MA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.atholhospital.org/cms-hpt.txt,https://mrfs.hyvehealthcare.com/HeywoodHealthcare/042103581_heywood-hospital_standardcharges.json,2025-04-16,2.2.0,https://mrfs.hyvehealthcare.com/HeywoodHealthcare/,2026-09-09T01:48:38.396Z
210005,FREDERICK HEALTH HOSPITAL,MD,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.frederickhealth.org/cms-hpt.txt,https://www.frederickhealth.org/documents/billing%20and%20finance/52-0591612_FrederickHealthHospital_standardcharges.csv,2025-03-17,2.0.0,https://www.frederickhealth.org/about/billing-financial-assistance/,2026-09-09T01:48:52.538Z
210023,"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",MD,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://www.luminishealth.org/sites/default/files/2026-01/cms-hpt.txt,https://www.luminishealth.org/sites/default/files/2026-01/1477517225_annearundelmedicalcenter_standardcharges.csv,2026-01-15,2.0.0,https://www.luminishealth.org/en/price-transparency,2026-09-09T01:48:53.084Z
210051,"LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR, INC",MD,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://www.luminishealth.org/sites/default/files/2026-01/cms-hpt.txt,https://www.luminishealth.org/sites/default/files/2026-01/1730136532_doctorscommunitymedicalcenter_standardcharges.csv,2026-01-15,2.0.0,https://www.luminishealth.org/en/price-transparency,2026-09-09T01:48:53.124Z
214020,LUMINIS HEALTH J KENT MCNEW FAMILY MEDICAL CENTER,MD,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://www.luminishealth.org/sites/default/files/2026-01/cms-hpt.txt,https://www.luminishealth.org/sites/default/files/2026-01/1780236992_jkentmcnewfamilymedicalcenter_standardcharges.csv,2026-01-15,2.0.0,https://www.luminishealth.org/en/price-transparency,2026-09-09T01:48:53.129Z
231318,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",MI,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.aspirus.org/cms-hpt.txt,https://www.aspirus.org/Uploads/Public/Documents/PriceEstimate/TransparencyFY26/383236977_aspirus-iron-river-hospital_standardcharges.json,2025-07-01,2.2.0,https://www.aspirus.org/price-estimate,2026-09-09T01:48:55.968Z
231311,DECKERVILLE COMMUNITY HOSPITAL,MI,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://aspirerhs.org/cms-hpt.txt,https://aspirerhs.org/wp-content/uploads/2024/07/381415390_deckerville-community-hospital_standardcharges.csv,2025-01-15,2.0.0,https://aspirerhs.org/billing/,2026-09-09T01:48:56.433Z
230275,HEALTHSOURCE SAGINAW,MI,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://healthsourcesaginaw.org/cms-hpt.txt,https://www.healthsourcesaginaw.org/wp-content/uploads/2026/01/386004889_healthsource-saginaw_standardcharges.csv,2026-01-06,2.0.0,https://www.healthsourcesaginaw.org,2026-09-09T01:48:56.903Z
