ccn,hospital_name,address,city,state,zip,phone,type,seeded_domain,pointer_status,remediation,reason,exa_query,resolved_domain
451347,COLEMAN COUNTY MEDICAL CENTER COMPANY,310 SOUTH PECOS STREET,COLEMAN,TX,76834,hpt-obf:v1:BSG4R7AjepdKZtVN.22daKyven0_RSLAf86w2OA.utBCqlkKBg__nRAVS8M,Critical Access Hospitals,colemancountymc.com,html,exa-domain-lookup,pointer fetch failed (html); domain is likely wrong or stale,COLEMAN COUNTY MEDICAL CENTER COMPANY hospital COLEMAN TX official website,
451349,SWISHER MEMORIAL HOSPITAL,539 SOUTHEAST 2ND,TULIA,TX,79088,hpt-obf:v1:M168nUCzGOuqgnuQ.48TQVDiYTk-3qQIFB9GYfw.oyKEuLSdbcPOyFfGqpU,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,SWISHER MEMORIAL HOSPITAL hospital TULIA TX official website,
451350,PLAINS MEMORIAL HOSPITAL,310 WEST HALSELL STREET,DIMMITT,TX,79027,hpt-obf:v1:qxc2315pbfEN4_YO.Fzq28m0LI536DJTNMMh_sg.w0obGrgvdfdxevhfR6c,Critical Access Hospitals,plainsmemorial.com,failed,exa-domain-lookup,pointer fetch failed (failed); domain is likely wrong or stale,PLAINS MEMORIAL HOSPITAL hospital DIMMITT TX official website,
451351,LYNN COUNTY HOSPITAL DISTRICT,2600 LOCKWOOD STREET,TAHOKA,TX,79373,hpt-obf:v1:MXuWSAb2j-RkM2IX.d0-Sv3duK2R0KDDqA8wChw.Dem1G_9wTeK9rGq5Y40,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,LYNN COUNTY HOSPITAL DISTRICT hospital TAHOKA TX official website,
451354,HAMILTON HOSPITAL,901 WEST HAMILTON,OLNEY,TX,76374,hpt-obf:v1:jIdZdIJmuAVQtGd7.NKN_tOIa53a-ZdhOBpTPpA.x3KMG-TOB_TzkJVGOlI,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,HAMILTON HOSPITAL hospital OLNEY TX official website,
451355,COLLINGSWORTH GENERAL HOSPITAL,1013 15TH ST,WELLINGTON,TX,79095,hpt-obf:v1:heWOXN75RNGn_3uv.MOvBwA_yK_jpM8x9n6cXRw.RlFjZqPD9a-55wbF-FE,Critical Access Hospitals,collingsworthgeneral.net,html,exa-domain-lookup,pointer fetch failed (html); domain is likely wrong or stale,COLLINGSWORTH GENERAL HOSPITAL hospital WELLINGTON TX official website,
451356,MEMORIAL MEDICAL CENTER,701 N VIRGINIA ST,PORT LAVACA,TX,77979,hpt-obf:v1:vGmO_Xb8br5gUrtP.1ghRikt8C6NXsJfbeiYsrA.USeKzPTxt-13jF-DxQw,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,MEMORIAL MEDICAL CENTER hospital PORT LAVACA TX official website,
451358,MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,SEMINOLE,TX,79360,hpt-obf:v1:C5xGsA4ZtHKxaoy6.97ofqr-bWHAS7-oBr7jxyg.6jffg6zZUzEMVsb8Y2Q,Critical Access Hospitals,texashealthhuguley.org,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
451361,SABINE COUNTY HOSPITAL,"PO BOX 750, 2301 HWY 83 W",HEMPHILL,TX,75948,hpt-obf:v1:BorQxJH31qv-ioMX.qMAXylr-Q78PMP_odCnL6Q.k80e9fkcPNeDzpImXbs,Critical Access Hospitals,sabinecountyhospital.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
451362,CLAY COUNTY MEMORIAL HOSPITAL,310 W SOUTH STREET,HENRIETTA,TX,76365,hpt-obf:v1:bROPhUoKAUosYpEO.tcYynFX-oprS-earqd2lGA.XVZvUuknuOjXmURn-4s,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,CLAY COUNTY MEMORIAL HOSPITAL hospital HENRIETTA TX official website,
451363,JACKSON HEALTHCARE CENTER,1013 S WELLS,EDNA,TX,77957,hpt-obf:v1:9eXbnBq4uXjW75n9.lNJTo9eOF55LwNQqr4vGdQ.ZFt21MLRCr3J3KIPgqc,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,JACKSON HEALTHCARE CENTER hospital EDNA TX official website,
451370,TMC- BONHAM HOSPITAL,504 LIPSCOMB STREET,BONHAM,TX,75418,hpt-obf:v1:8kgochpbsm6Qm8p5.usu5_pN05q3nn5dsLLQ-lA.PBVcNiroi_yEaJglUOQ,Critical Access Hospitals,tmcbonham.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
451372,MULESHOE AREA MEDICAL CENTER,708 S 1ST ST,MULESHOE,TX,79347,hpt-obf:v1:jbBpNY9j_P68Xrx7.fUEgT-NGUQFhERpapD5bQw.VnStbtCf97lB-4PUKNE,Critical Access Hospitals,muleshoehospital.com,html,exa-domain-lookup,pointer fetch failed (html); domain is likely wrong or stale,MULESHOE AREA MEDICAL CENTER hospital MULESHOE TX official website,
451386,MEMORIAL HOSPITAL,224 E SECOND STREET,DUMAS,TX,79029,hpt-obf:v1:oPe-hoj4GtWToehe.KouXwFKeG03YS1BJdfWa0w.3WFers_6jlmNDEauII4,Critical Access Hospitals,texashealthhuguley.org,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
451389,PECOS COUNTY MEMORIAL HOSPITAL,387 WEST I 10,FORT STOCKTON,TX,79735,hpt-obf:v1:UcLoayUxxK7CldAS.5tYF6ZBINKpcvOlHpJ7m5Q.TUrOKyCioUuupAfHVnE,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,PECOS COUNTY MEMORIAL HOSPITAL hospital FORT STOCKTON TX official website,
451393,CROCKETT MEDICAL CENTER,1100 E LOOP 304,CROCKETT,TX,75835,hpt-obf:v1:blFlK7cKRTg41EVa.Mc194lyDDqcQ8uAHK5vZvw.IcdnUBmydx3yAcSpnxs,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,CROCKETT MEDICAL CENTER hospital CROCKETT TX official website,
